mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.013367052023121388,0.37373737373737376,0.028733937223509583,0.6657896347059903,0.33421036529400966,0.6262626262626263,0.5187699411278973,74.0,5462.0,124.0,10881.0,198.0,16343.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.012321478577429292,0.26506024096385544,0.014888231549780955,0.7301660163721215,0.2698339836278785,0.7349397590361446,0.3412905766608798,44.0,3527.0,122.0,9544.0,166.0,13071.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.008974964572508267,0.17592592592592593,0.016668139637649137,0.7820712579204321,0.2179287420795679,0.8240740740740741,0.37569192724970335,19.0,2098.0,89.0,7529.0,108.0,9627.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_noise,0.011617139489856048,0.24820143884892087,0.021824226375707904,0.7510970723537767,0.24890292764622332,0.7517985611510791,0.41670129039207426,138.0,11741.0,418.0,35430.0,556.0,47171.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.024062131613619028,0.9327956989247311,0.04635097637144569,0.5076094181856348,0.4923905818143652,0.06720430107526881,0.7107006610181771,347.0,14074.0,25.0,14509.0,372.0,28583.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.02689440407662546,0.9661016949152542,0.06554886952940911,0.5116268055884442,0.48837319441155574,0.03389830508474576,0.7767314647815713,285.0,10312.0,10.0,10803.0,295.0,21115.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.038475433526011564,0.9681818181818181,0.08705062806154275,0.6738557686416273,0.32614423135837267,0.031818181818181815,0.8407830804268712,213.0,5323.0,7.0,10998.0,220.0,16321.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.04144497339680762,0.961038961038961,0.09502488307148975,0.7383627608346709,0.26163723916532905,0.03896103896103896,0.8728833466147095,148.0,3423.0,6.0,9660.0,154.0,13083.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.05101558809636278,0.9310344827586207,0.11094050572311442,0.7911425304085664,0.20885746959143361,0.06896551724137931,0.8885929641579979,108.0,2009.0,8.0,7610.0,116.0,9619.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,price_spike,0.04621601144877515,0.8564742589703588,0.09134127975315896,0.7593764600942955,0.24062353990570445,0.1435257410296412,0.8342405798681123,549.0,11330.0,92.0,35756.0,641.0,47086.0,11879.0
